sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
7245;SDS011;3664;51.216;3.220;2018-03-14T00:02:09;34.40;;;20.30;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:04:37;33.57;;;19.43;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:07:03;33.20;;;19.70;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:09:30;33.33;;;18.80;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:11:56;36.43;;;19.93;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:14:24;40.20;;;19.73;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:16:51;40.83;;;20.90;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:19:19;34.27;;;19.40;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:21:46;31.53;;;20.20;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:24:13;41.20;;;22.37;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:26:41;32.40;;;19.00;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:29:08;30.60;;;19.57;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:31:35;39.97;;;18.47;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:34:02;38.23;;;18.33;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:36:29;38.87;;;20.93;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:38:55;34.13;;;19.80;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:41:22;34.40;;;19.20;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:43:48;32.13;;;18.50;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:46:15;26.73;;;18.37;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:48:42;30.30;;;18.40;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:51:09;32.10;;;18.70;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:53:36;35.13;;;20.40;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:56:04;33.13;;;20.17;;
7245;SDS011;3664;51.216;3.220;2018-03-14T00:58:31;34.27;;;19.07;;
7245;SDS011;3664;51.216;3.220;2018-03-14T01:00:58;32.97;;;21.57;;
7245;SDS011;3664;51.216;3.220;2018-03-14T01:03:26;29.47;;;18.90;;
7245;SDS011;3664;51.216;3.220;2018-03-14T01:05:53;31.73;;;19.00;;
