sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
7245;SDS011;3664;51.216;3.220;2018-09-19T00:01:57;36.57;;;8.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:04:24;23.57;;;5.20;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:06:52;38.70;;;6.53;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:09:19;30.67;;;6.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:11:47;29.23;;;6.23;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:14:14;15.77;;;5.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:16:42;34.43;;;7.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:19:09;28.80;;;6.83;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:21:37;29.97;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:24:04;18.43;;;6.17;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:26:32;29.17;;;6.03;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:28:59;24.30;;;6.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:31:27;26.80;;;6.87;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:33:54;23.70;;;6.17;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:36:22;21.67;;;6.83;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:38:50;22.20;;;5.50;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:41:17;21.70;;;5.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:43:45;28.23;;;6.63;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:46:12;31.60;;;6.27;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:48:40;25.80;;;6.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:51:08;27.80;;;6.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:53:35;31.63;;;7.63;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:56:03;18.93;;;5.80;;
7245;SDS011;3664;51.216;3.220;2018-09-19T00:58:30;28.40;;;5.57;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:00:58;29.80;;;6.77;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:03:25;22.97;;;6.63;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:05:53;20.90;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:08:20;20.83;;;5.37;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:10:48;33.97;;;6.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:13:15;28.43;;;5.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:15:43;25.83;;;5.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:18:10;27.93;;;7.00;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:20:38;21.67;;;5.67;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:23:05;31.50;;;6.43;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:25:33;23.63;;;6.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:28:00;29.33;;;5.77;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:30:28;27.17;;;6.50;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:32:55;25.03;;;5.83;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:35:23;26.00;;;7.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:37:50;23.93;;;6.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:40:18;31.90;;;7.33;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:42:45;24.50;;;6.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:45:13;28.80;;;6.83;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:47:40;23.20;;;6.63;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:50:08;29.60;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:52:36;21.50;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:55:03;33.30;;;7.93;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:57:30;32.70;;;7.03;;
7245;SDS011;3664;51.216;3.220;2018-09-19T01:59:58;22.50;;;6.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:02:25;20.43;;;5.50;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:04:53;40.13;;;7.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:07:20;19.27;;;6.17;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:09:48;32.03;;;6.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:12:15;25.83;;;6.30;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:14:43;21.13;;;6.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:17:10;25.70;;;5.73;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:19:38;24.80;;;5.97;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:22:06;25.53;;;6.80;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:24:33;27.70;;;6.77;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:27:01;25.17;;;6.83;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:29:28;26.77;;;6.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:31:56;34.43;;;7.47;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:34:23;26.53;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:36:51;25.50;;;6.63;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:39:18;24.80;;;6.53;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:41:46;26.40;;;6.90;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:44:13;38.17;;;9.90;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:46:41;28.50;;;7.20;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:49:08;23.00;;;8.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:51:36;28.37;;;8.00;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:54:03;31.70;;;7.80;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:56:31;33.30;;;7.40;;
7245;SDS011;3664;51.216;3.220;2018-09-19T02:58:58;38.13;;;7.80;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:01:26;29.37;;;8.13;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:03:53;19.43;;;6.10;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:06:21;32.77;;;7.50;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:08:48;38.70;;;7.23;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:11:16;26.97;;;8.60;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:13:43;22.50;;;7.70;;
7245;SDS011;3664;51.216;3.220;2018-09-19T03:16:11;30.30;;;7.30;;
